Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
Bacone College,24,350,485,65,15,19,72,28010,28010,Oklahoma,Southwest,Private,Distant Town,30,8,37,2,83,83
Paul Quinn College,34,360,440,51,13,18,99,26300,26300,Texas,Southwest,Private,Large City,87,11,54,4,71,59
Southern University at New Orleans,1,420,650,99,15,18,49,16191,16191,Louisiana,Southeast,Public,Large City,83,1,75,8,58,58
University of Houston-Downtown,87,380,480,19,16,21,95,,,Texas,Southwest,Public,Large City,25,39,60,9,78,65
Florida College,47,470,590,69,20,26,59,26750,26750,Florida,Southeast,Private,Large Suburb,6,6,50,9,85,35
West Virginia State University,9,405,495,83,18,22,45,18141,26073,West Virginia,Southeast,Public,Midsize Suburb,10,1,55,11,76,53
Mid-Continent University,2,350,500,70,15,24,70,26041,26041,Kentucky,Southeast,Private,Fringe Rural,14,2,65,11,94,83
Texas Southern University,76,370,450,40,15,19,45,24566,35186,Texas,Southwest,Public,Large City,84,6,59,12,89,78
Bluefield State College,16,410,500,72,17,21,43,,,West Virginia,Southeast,Public,Remote Town,10,1,62,12,90,63
Brewton-Parker College,75,400,490,51,17,20,51,24786,24786,Georgia,Southeast,Private,Distant Rural,24,3,46,13,100,57
Kentucky State University,12,350,450,93,16,20,38,17506,26302,Kentucky,Southeast,Public,Distant Town,56,1,59,13,83,75
Truett-McConnell College,81,430,530,51,17,22,81,28410,28410,Georgia,Southeast,Private,Fringe Rural,6,3,57,13,100,45
West Virginia University Institute of Technology,23,430,530,80,18,24,51,17673,26481,West Virginia,Southeast,Public,Fringe Rural,7,5,38,13,88,55
Chicago State University,3,430,510,99,17,20,29,23202,29594,Illinois,Great Lakes,Public,Large City,78,6,71,13,91,85
Edward Waters College,24,350,440,69,15,18,27,23833,23833,Florida,Southeast,Private,Large City,92,2,47,13,96,82
Paine College,52,340,430,56,14,18,44,23850,23850,Georgia,Southeast,Private,Midsize City,91,2,49,14,97,84
University of Arkansas at Little Rock,3,360,480,82,20,27,53,23191,32968,Arkansas,Southeast,Public,Midsize City,23,6,59,15,92,53
Purdue University-North Central Campus,70,430,520,24,17,23,72,,,Indiana,Great Lakes,Public,Fringe Rural,5,10,60,16,50,46
Indiana University-Purdue University-Fort Wayne,91,440,540,36,19,24,83,23481,33313,Indiana,Great Lakes,Public,Large City,5,5,55,16,59,43
LIU Brooklyn,86,400,500,9,17,22,87,50514,50514,New York,Mid East,Private,Large City,32,16,70,16,97,71
Livingstone College,58,320,410,35,13,16,71,25920,25920,North Carolina,Southeast,Private,Midsize Suburb,91,1,44,16,89,86
Metropolitan State University of Denver,3,460,590,86,18,23,71,,,Colorado,Rocky Mountains,Public,Large City,6,21,54,16,50,40
California State University-Dominguez Hills,80,380,470,21,15,19,57,21286,32446,California,Far West,Public,Small City,17,53,64,16,78,74
Rust College,2,310,360,77,13,14,14,15400,15400,Mississippi,Southeast,Private,Distant Town,95,0,61,17,97,94
Indiana University-South Bend,83,430,530,16,18,23,70,19080,30042,Indiana,Great Lakes,Public,Midsize City,6,7,61,17,66,48
College of St Joseph,61,335,500,15,16,18,68,33700,33700,Vermont,New England,Private,Remote Town,21,1,52,17,96,75
Indiana University-Northwest,68,390,510,39,17,23,76,,,Indiana,Great Lakes,Public,Small City,17,16,66,17,58,44
University of Arkansas at Pine Bluff,6,330,430,94,15,20,28,16882,22582,Arkansas,Southeast,Public,Small City,93,1,54,17,92,82
Indiana University-East,67,410,520,46,18,23,54,,,Indiana,Great Lakes,Public,Fringe Rural,3,2,65,18,74,57
Alabama State University,18,380,480,87,15,19,51,18286,25222,Alabama,Southeast,Public,Midsize City,93,1,59,18,87,76
Wesley College,89,360,470,9,16,23,62,38230,38230,Delaware,Mid East,Private,Small City,39,5,52,18,96,50
University of Arkansas-Fort Smith,2,350,540,82,19,25,57,16498,22042,Arkansas,Southeast,Public,Small City,4,8,56,18,93,60
Central State University,13,370,470,57,15,19,33,17804,25256,Ohio,Great Lakes,Public,Fringe Rural,95,1,53,18,87,81
Indiana University-Kokomo,85,430,520,20,18,23,74,,,Indiana,Great Lakes,Public,Small City,4,4,64,18,58,43
Lewis-Clark State College,63,400,510,45,18,22,100,17426,27736,Idaho,Rocky Mountains,Public,Small City,1,5,61,18,88,54
University of Hawaii-West Oahu,76,400,480,4,16,22,76,,,Hawaii,Far West,Public,Large Suburb,1,10,66,19,51,32
Adams State University,16,440,533,90,17,22,53,19691,30323,Colorado,Rocky Mountains,Public,Remote Town,7,31,50,19,88,51
University of South Carolina-Beaufort,69,410,500,44,18,22,73,21396,31248,South Carolina,Southeast,Public,Fringe Town,19,5,61,20,81,42
Huston-Tillotson University,72,350,450,32,13,17,46,27044,27044,Texas,Southwest,Private,Large City,73,18,53,20,92,74
Clayton  State University,71,440,520,44,18,21,48,18830,28592,Georgia,Southeast,Public,Large Suburb,62,1,70,20,82,70
Savannah State University,70,390,460,57,16,19,83,16174,25935,Georgia,Southeast,Public,Midsize City,87,2,55,20,88,80
Chowan University,72,360,430,39,14,17,62,31780,31780,North Carolina,Southeast,Private,Distant Town,70,3,53,20,100,74
Bryn Athyn College of the New Church,95,460,580,11,20,25,52,29734,29734,Pennsylvania,Mid East,Private,Large Suburb,14,6,52,20,100,39
Grambling State University,17,380,480,86,16,20,44,22720,31888,Louisiana,Southeast,Public,Distant Town,91,1,60,21,96,83
Dillard University,22,400,470,85,17,20,35,30358,30358,Louisiana,Southeast,Private,Large City,90,1,71,21,99,80
Indiana University-Southeast,64,420,530,48,17,23,79,19610,30688,Indiana,Great Lakes,Public,Large Suburb,6,3,58,21,57,45
Alabama A & M University,15,370,450,88,15,19,90,21849,27441,Alabama,Southeast,Public,Midsize City,95,1,51,21,89,81
The University of Texas of the Permian Basin,61,450,550,47,19,23,84,16749,25173,Texas,Southwest,Public,Midsize City,5,43,59,21,88,26
Missouri Valley College,12,390,440,87,18,21,22,30000,30000,Missouri,Plains,Private,Remote Town,18,5,45,21,100,63
Cleveland State University,22,450,570,88,19,25,63,25317,28496,Ohio,Great Lakes,Public,Large City,19,5,54,21,80,53
The University of Texas at San Antonio,80,450,570,38,20,25,73,20598,29172,Texas,Southwest,Public,Large City,9,48,47,21,71,43
Fontbonne University,8,490,600,89,21,25,65,33896,33896,Missouri,Plains,Private,Large Suburb,17,2,67,21,91,24
Sul Ross State University,47,360,490,58,15,21,52,18556,27052,Texas,Southwest,Public,Remote Town,7,62,56,21,76,63
Becker College,89,450,550,12,19,24,63,47160,47160,Massachusetts,New England,Private,Midsize City,8,9,57,21,100,36
California State University-Los Angeles,95,380,480,32,15,20,68,21705,32865,California,Far West,Public,Large City,5,60,59,22,76,72
Bethel University,2,390,510,49,17,22,51,30196,30196,Tennessee,Southeast,Private,Distant Town,37,1,56,22,91,76
Webber International University,63,330,530,64,17,24,64,37173,37173,Florida,Southeast,Private,Fringe Town,22,15,31,22,99,49
Eastern New Mexico University-Main Campus,13,410,540,93,17,22,63,16149,21660,New Mexico,Southwest,Public,Remote Town,4,34,56,22,95,55
Jacksonville State University,18,430,540,89,19,26,83,21237,28029,Alabama,Southeast,Public,Small City,25,1,58,22,83,48
Stillman College,6,350,450,59,17,20,43,26877,26877,Alabama,Southeast,Private,Small City,92,1,49,22,100,74
The College of New Rochelle,15,450,520,1,22,25,57,47550,47550,New York,Mid East,Private,Large Suburb,52,13,90,22,100,89
Columbus State University,69,440,550,44,19,23,55,19620,29662,Georgia,Southeast,Public,Midsize City,36,5,59,22,82,52
Henderson State University,3,460,538,94,19,24,62,18934,25054,Arkansas,Southeast,Public,Distant Town,24,4,56,23,95,57
Montana State University-Northern,8,385,490,65,17,22,100,17380,29212,Montana,Rocky Mountains,Public,Remote Town,1,2,50,23,82,49
Glenville State College,18,360,480,77,16,21,74,21300,29316,West Virginia,Southeast,Public,Remote Town,13,1,43,23,91,64
Southern Arkansas University Main Campus,6,410,520,94,18,24,61,19438,22588,Arkansas,Southeast,Public,Remote Town,27,2,58,23,95,58
Black Hills State University,5,423,635,89,19,23,89,17862,19862,South Dakota,Plains,Public,Distant Town,1,4,63,23,69,39
Angelo State University,58,420,520,68,18,23,80,18915,27411,Texas,Southwest,Public,Small City,8,30,54,23,85,47
University of New Orleans,12,470,590,90,21,25,50,19825,32315,Louisiana,Southeast,Public,Large City,15,10,50,23,85,44
Armstrong Atlantic State University,80,460,550,36,19,23,70,21373,31135,Georgia,Southeast,Public,Midsize City,24,7,67,23,76,46
University of Maine at Machias,87,410,530,3,18,25,85,18968,30848,Maine,New England,Public,Remote Rural,3,3,70,23,97,60
University of Southern Maine,93,450,550,7,20,25,83,24062,36422,Maine,New England,Public,Small City,3,2,57,23,78,45
Morrisville State College,89,420,500,23,17,21,59,23352,32802,New York,Mid East,Public,Distant Rural,18,7,48,24,85,65
Morgan State University,84,410,490,14,16,19,58,22269,31683,Maryland,Mid East,Public,Large City,84,3,55,24,78,60
University of Bridgeport,91,410,500,9,18,22,64,50043,50043,Connecticut,New England,Private,Midsize City,35,18,66,24,93,60
Fayetteville State University,89,380,450,7,17,19,55,14854,25650,North Carolina,Southeast,Public,Midsize City,66,6,69,24,94,78
University of North Alabama,3,413,565,96,19,25,81,16933,22525,Alabama,Southeast,Public,Small City,13,2,57,24,68,53
Calumet College of Saint Joseph,46,390,460,26,15,20,40,,,Indiana,Great Lakes,Private,Large Suburb,27,31,44,24,89,59
University of Pikeville,5,390,500,95,16,22,100,33750,33750,Kentucky,Southeast,Private,Remote Town,10,1,53,24,100,65
University of Maryland Eastern Shore,89,400,480,16,16,19,55,21454,29960,Maryland,Mid East,Public,Fringe Town,73,2,55,24,62,58
Pennsylvania State University-Penn State Shenango,61,400,480,17,15,22,69,,,Pennsylvania,Mid East,Public,Large Suburb,8,1,67,24,94,68
Mount Aloysius College,82,400,490,23,18,22,69,34598,34598,Pennsylvania,Mid East,Private,Fringe Town,2,1,72,25,100,50
Greensboro College,83,390,500,43,15,21,78,39376,39376,North Carolina,Southeast,Private,Large City,28,2,51,25,100,46
University of South Alabama,8,440,550,92,20,26,86,19980,26628,Alabama,Southeast,Public,Midsize City,22,2,57,25,80,43
Lamar University,87,430,530,36,18,23,77,21769,30265,Texas,Southwest,Public,Midsize City,30,11,58,25,72,53
University of Hawaii at Hilo,89,410,540,8,19,23,75,17326,29086,Hawaii,Far West,Public,Remote Town,1,11,60,25,70,45
Bowie State University,86,410,490,14,17,20,52,20107,30674,Maryland,Mid East,Public,Large Suburb,89,3,62,25,70,52
Louisiana State University-Shreveport,2,440,510,98,20,24,83,,,Louisiana,Southeast,Public,Midsize City,20,4,59,25,90,35
Colorado Mesa University,12,430,540,87,18,23,82,19729,29752,Colorado,Rocky Mountains,Public,Small City,2,14,55,25,71,43
University of North Carolina at Pembroke,88,410,500,11,18,21,72,17622,26829,North Carolina,Southeast,Public,Distant Town,34,4,62,25,80,59
Reinhardt University,66,437,590,34,18,25,51,32794,32794,Georgia,Southeast,Private,Fringe Rural,17,5,50,25,89,43
University of Michigan-Flint,1,503,675,87,18,24,78,23026,31908,Michigan,Great Lakes,Public,Midsize City,12,4,60,25,52,38
Iowa Wesleyan College,6,453,468,95,19,24,60,38738,38738,Iowa,Plains,Private,Remote Town,6,5,64,25,100,59
Prairie View A & M University,77,370,460,45,15,20,42,17592,26178,Texas,Southwest,Public,Distant Town,86,6,58,26,87,74
Friends University,14,350,490,80,18,24,59,36005,36005,Kansas,Plains,Private,Large City,10,4,56,26,99,44
Southern Polytechnic State University,80,500,600,46,22,26,78,18862,29890,Georgia,Southeast,Public,Small City,21,8,19,26,83,39
Fairmont State University,15,410,520,85,18,23,66,17310,23774,West Virginia,Southeast,Public,Distant Town,5,2,55,26,76,49
Averett University,83,420,520,35,17,22,63,39124,39124,Virginia,Southeast,Private,Remote Town,24,4,50,26,100,53
Lane College,1,360,510,90,13,16,49,18900,18900,Tennessee,Southeast,Private,Small City,100,0,48,26,99,94
South Carolina State University,61,400,416,39,17,19,51,26244,35378,South Carolina,Southeast,Public,Distant Town,95,1,52,26,89,79
California State University-East Bay,91,400,500,32,16,22,69,22312,33472,California,Far West,Public,Midsize City,11,25,61,26,62,54
California State University-San Bernardino,95,390,490,37,16,20,58,20377,31537,California,Far West,Public,Midsize City,7,55,61,26,73,67
Boise State University,76,460,570,56,20,26,78,20944,33544,Idaho,Rocky Mountains,Public,Midsize City,1,9,54,26,71,35
Colorado State University-Pueblo,12,420,510,89,18,23,94,20938,31260,Colorado,Rocky Mountains,Public,Midsize City,7,29,56,26,73,50
Delta State University,5,410,475,95,18,22,89,18887,18887,Mississippi,Southeast,Public,Remote Town,35,1,60,26,94,53
Ohio Christian University,14,400,490,89,17,23,97,33418,33418,Ohio,Great Lakes,Private,Distant Town,28,2,61,27,60,48
Saint Augustine's University,52,330,423,47,13,17,67,31642,31642,North Carolina,Southeast,Private,Large City,97,0,50,27,80,68
Eastern Michigan University,7,440,570,96,19,24,64,20756,36301,Michigan,Great Lakes,Public,Large Suburb,21,4,58,27,96,52
Alcorn State University,5,400,460,95,16,19,83,20984,20984,Mississippi,Southeast,Public,Remote Rural,93,1,65,27,74,67
Humboldt State University,93,450,580,37,18,24,80,22556,33716,California,Far West,Public,Remote Town,4,27,53,27,61,46
Georgia Southwestern State University,68,440,520,31,18,22,68,19063,28825,Georgia,Southeast,Public,Distant Town,29,3,64,27,82,50
California State University-Sacramento,92,410,520,34,17,22,70,23209,34369,California,Far West,Public,Large City,6,26,57,27,65,56
The University of Texas at El Paso,62,390,500,30,17,22,100,21399,33319,Texas,Southwest,Public,Large City,3,83,54,27,76,67
Austin Peay State University,3,430,540,89,19,24,86,21513,36009,Tennessee,Southeast,Public,Midsize City,19,6,60,27,92,56
William Penn University,17,380,500,86,17,22,58,33706,33706,Iowa,Plains,Private,Remote Town,14,7,50,27,99,55
Union College,10,460,563,88,19,24,74,33740,33740,Kentucky,Southeast,Private,Remote Town,10,2,49,27,100,59
East Central University,6,370,530,94,18,23,98,13063,20465,Oklahoma,Southwest,Public,Remote Town,4,5,60,27,77,50
McNeese State University,5,450,550,95,20,24,62,17759,28661,Louisiana,Southeast,Public,Small City,18,2,62,27,89,39
Tusculum College,37,400,520,90,18,23,72,35702,35702,Tennessee,Southeast,Private,Distant Town,11,2,57,27,97,67
Texas A & M University-Kingsville,66,380,490,59,16,21,88,20423,31043,Texas,Southwest,Public,Distant Town,7,67,54,27,84,59
Concordia University-Texas,72,450,550,45,20,25,47,38420,38420,Texas,Southwest,Private,Large City,12,22,65,27,97,38
Florida Agricultural and Mechanical University,27,430,520,73,18,22,45,19545,31485,Florida,Southeast,Public,Midsize City,94,1,61,27,86,68
California State University-Monterey Bay,93,430,540,40,18,24,44,19210,30370,California,Far West,Public,Midsize Suburb,6,40,62,27,60,49
Northern Kentucky University,15,440,560,96,19,25,47,19186,27274,Kentucky,Southeast,Public,Large Suburb,7,2,55,28,86,38
University of Southern Indiana,65,440,550,50,19,24,69,19568,28423,Indiana,Great Lakes,Public,Midsize Suburb,4,1,59,28,63,36
Lyndon State College,83,410,520,11,18,21,99,21744,32400,Vermont,New England,Public,Remote Town,3,4,44,28,79,47
Minot State University,10,428,500,85,19,24,57,16196,16196,North Dakota,Plains,Public,Remote Town,4,4,61,28,85,22
Ferrum College,91,390,490,24,14,20,74,40627,40627,Virginia,Southeast,Private,Distant Rural,32,5,43,28,100,63
Southern Vermont College,77,400,490,15,16,20,99,35500,35500,Vermont,New England,Private,Fringe Rural,9,9,62,28,99,46
Our Lady of the Lake University,78,400,490,39,14,21,66,37078,37078,Texas,Southwest,Private,Large City,8,73,72,28,97,67
The University of Tennessee-Chattanooga,6,470,590,97,21,25,78,20530,35736,Tennessee,Southeast,Public,Midsize City,11,3,55,28,94,35
Alice Lloyd College,2,470,500,98,18,24,45,21800,21800,Kentucky,Southeast,Private,Remote Rural,1,1,54,28,100,65
Dickinson State University,14,425,533,77,18,23,49,16044,18396,North Dakota,Plains,Public,Remote Town,4,5,61,28,73,29
York College,13,370,510,87,17,22,49,26250,26250,Nebraska,Plains,Private,Remote Town,14,7,46,28,91,46
Wayland Baptist University,43,400,510,64,17,23,99,23410,23410,Texas,Southwest,Private,Remote Town,16,26,50,28,94,53
Ottawa University-Ottawa,11,390,530,93,19,25,99,36482,36482,Kansas,Plains,Private,Distant Town,10,6,44,29,100,37
California State University-Bakersfield,90,390,500,24,15,22,66,21186,32346,California,Far West,Public,Large City,6,49,61,29,74,64
Arkansas State University-Main Campus,1,410,515,95,21,26,76,20014,25624,Arkansas,Southeast,Public,Small City,14,2,58,29,93,48
The University of Texas-Pan American,47,410,510,84,18,21,62,16245,24741,Texas,Southwest,Public,Small City,1,90,55,29,85,70
Oakwood University,47,410,513,58,17,22,34,36295,36295,Alabama,Southeast,Private,Midsize City,85,2,57,29,91,53
Fort Lewis College,23,470,570,87,20,25,88,22393,33233,Colorado,Rocky Mountains,Public,Remote Town,1,9,49,29,81,31
Concord University,28,430,530,78,18,24,46,17720,25050,West Virginia,Southeast,Public,Remote Town,6,1,57,29,94,50
Johnson State College,80,430,540,13,15,23,97,21774,33438,Vermont,New England,Public,Distant Rural,2,3,64,29,80,48
St Andrews University,67,430,510,49,18,23,64,40000,40000,North Carolina,Southeast,Private,Distant Town,14,1,53,29,100,42
Limestone College,65,450,530,35,20,23,53,36416,36416,South Carolina,Southeast,Private,Fringe Town,50,2,57,29,99,47
SUNY College at Old Westbury,82,450,530,7,19,22,58,19284,28534,New York,Mid East,Public,Large Suburb,30,21,58,29,64,52
North Carolina Central University,90,390,460,9,16,19,50,18547,29120,North Carolina,Southeast,Public,Midsize City,83,3,67,29,89,76
Delaware State University,95,410,480,12,16,19,42,21581,29937,Delaware,Mid East,Public,Small City,72,5,62,29,90,58
North Carolina Wesleyan College,71,370,470,29,15,20,47,37812,37812,North Carolina,Southeast,Private,Small City,49,2,59,29,76,55
East Texas Baptist University,62,430,520,63,18,22,74,32160,32160,Texas,Southwest,Private,Distant Town,19,12,53,30,99,55
San Jose State University,94,440,550,24,19,25,63,23629,34789,California,Far West,Public,Large City,3,24,49,30,45,40
University of Colorado Denver,18,490,600,86,20,26,76,24555,38679,Colorado,Rocky Mountains,Public,Large City,5,17,53,30,59,37
Florida Atlantic University,62,480,560,38,20,24,48,21583,34027,Florida,Southeast,Public,Small City,18,25,56,30,81,39
Eastern Kentucky University,6,440,560,95,19,24,60,18960,28032,Kentucky,Southeast,Public,Distant Town,5,2,56,30,95,48
Shepherd University,57,460,560,56,19,24,81,19311,28895,West Virginia,Southeast,Public,Fringe Town,8,3,57,30,75,36
University of Memphis,6,450,600,96,19,25,68,23535,38247,Tennessee,Southeast,Public,Large City,38,3,60,30,94,48
The University of Texas at Arlington,86,460,580,40,20,26,60,22234,30730,Texas,Southwest,Public,Large City,15,25,56,30,70,44
University of Akron Main Campus,13,450,590,90,18,25,96,23956,32320,Ohio,Great Lakes,Public,Midsize City,14,2,48,30,77,47
Valdosta State University,68,480,570,30,20,24,55,20746,31671,Georgia,Southeast,Public,Small City,36,4,59,30,80,47
Indiana University-Purdue University-Indianapolis,84,440,550,41,19,25,70,21680,42495,Indiana,Great Lakes,Public,Large City,11,5,57,30,63,40
Spalding University,14,440,520,89,18,22,81,37439,37439,Kentucky,Southeast,Private,Large City,22,3,70,30,99,54
Dominican College of Blauvelt,88,410,490,11,18,23,72,39890,39890,New York,Mid East,Private,Large Suburb,13,27,66,30,99,50
Norfolk State University,89,400,480,15,16,20,65,20536,34006,Virginia,Southeast,Public,Midsize City,84,3,64,30,84,66
Virginia Union University,84,340,420,26,13,17,58,27932,27932,Virginia,Southeast,Private,Midsize City,95,1,55,30,93,73
Northwestern State University of Louisiana,6,430,518,89,19,24,84,18436,28556,Louisiana,Southeast,Public,Remote Town,27,5,68,30,91,48
Francis Marion University,49,410,530,47,17,22,57,20923,29901,South Carolina,Southeast,Public,Small Suburb,49,1,69,30,95,65
Holy Names University,97,410,500,40,17,21,57,49041,49041,California,Far West,Private,Large City,20,28,69,31,100,48
Texas Wesleyan University,52,460,550,34,19,22,30,35454,35454,Texas,Southwest,Private,Large City,15,20,51,31,95,39
Rhode Island College,91,410,520,7,17,22,69,20053,30751,Rhode Island,New England,Public,Large Suburb,7,12,67,31,67,43
University of Nevada-Las Vegas,77,440,550,34,19,24,85,22195,36105,Nevada,Far West,Public,Midsize City,8,23,56,31,85,40
East Tennessee State University,11,440,550,88,19,25,86,23607,38919,Tennessee,Southeast,Public,Small City,6,2,57,31,88,46
Kentucky Christian University,18,360,510,87,18,24,51,30256,30256,Kentucky,Southeast,Private,Distant Town,11,1,46,31,100,52
Cumberland University,12,420,540,92,19,23,47,34130,34130,Tennessee,Southeast,Private,Fringe Town,11,3,54,31,99,47
San Francisco State University,93,430,550,23,19,24,64,23828,34988,California,Far West,Public,Large City,5,24,57,31,53,47
Notre Dame College,23,398,500,80,18,22,90,38502,38502,Ohio,Great Lakes,Private,Large Suburb,21,2,55,31,99,48
Kennesaw State University,67,500,590,45,21,24,57,24659,34739,Georgia,Southeast,Public,Large Suburb,18,7,58,31,81,36
Albany State University,70,420,480,56,17,20,20,19590,31792,Georgia,Southeast,Public,Small City,90,1,66,31,91,81
Charleston Southern University,78,430,540,59,18,23,69,35740,35740,South Carolina,Southeast,Private,Small City,30,3,64,31,100,45
Southern Virginia University,42,460,570,68,17,26,100,30300,30300,Virginia,Southeast,Private,Distant Town,4,2,53,31,100,39
California State University-Northridge,91,400,510,25,16,22,46,21669,32829,California,Far West,Public,Large City,6,40,55,31,64,58
Hawaii Pacific University,58,430,550,36,19,25,64,36590,36590,Hawaii,Far West,Private,Large City,5,13,56,31,91,38
North Carolina A & T State University,86,400,480,24,17,21,70,15929,27010,North Carolina,Southeast,Public,Large City,85,2,54,31,78,62
Barry University,77,420,520,40,17,21,47,45100,45100,Florida,Southeast,Private,Large Suburb,32,29,62,31,96,63
Pacific Union College,79,450,570,30,18,25,51,39852,39852,California,Far West,Private,Fringe Rural,8,27,56,32,100,50
Thiel College,79,430,520,37,18,23,66,41078,41078,Pennsylvania,Mid East,Private,Fringe Town,7,2,50,32,92,47
Clark Atlanta University,60,390,470,50,17,21,57,35471,35471,Georgia,Southeast,Private,Large City,87,1,75,32,83,69
University of the Incarnate Word,83,430,520,37,18,23,93,39124,39124,Texas,Southwest,Private,Large City,7,59,61,32,100,48
LIU Post,84,440,520,19,19,23,81,50934,50934,New York,Mid East,Private,Large Suburb,7,12,58,32,96,38
Lake Superior State University,5,460,570,91,20,25,92,21788,26708,Michigan,Great Lakes,Public,Remote Town,2,2,50,32,87,45
Davis & Elkins College,31,400,520,61,17,23,57,36442,36442,West Virginia,Southeast,Private,Remote Town,4,0,54,32,100,47
Central Baptist College,3,430,590,85,18,23,54,23224,23224,Arkansas,Southeast,Private,Small City,21,2,49,32,97,43
University of West Georgia,76,440,520,52,18,22,54,21299,31365,Georgia,Southeast,Public,Fringe Town,34,4,63,32,81,51
D'Youville College,92,480,580,47,20,25,79,37570,37570,New York,Mid East,Private,Large City,12,5,73,32,99,38
California State Polytechnic University-Pomona,95,460,570,27,20,26,52,22571,33731,California,Far West,Public,Large Suburb,3,37,43,32,53,43
New Mexico State University-Main Campus,23,410,540,84,18,24,85,18255,31679,New Mexico,Southwest,Public,Midsize Suburb,3,52,53,32,95,46
Emporia State University,1,438,528,84,19,25,61,17257,29031,Kansas,Plains,Public,Remote Town,5,6,60,32,87,41
Mississippi University for Women,8,440,480,92,18,24,43,16823,26543,Mississippi,Southeast,Public,Remote Town,38,1,82,32,98,58
Nicholls State University,2,437,537,96,20,24,87,19180,28671,Louisiana,Southeast,Public,Small City,20,3,62,32,90,44
Prescott College,79,480,640,21,22,30,73,41336,41336,Arizona,Southwest,Private,Small City,1,6,55,32,92,52
Tuskegee University,43,400,510,75,18,22,35,32853,32853,Alabama,Southeast,Private,Distant Town,78,0,58,32,73,54
Southwestern Adventist University,64,420,550,40,17,22,54,29602,29602,Texas,Southwest,Private,Fringe Town,15,41,58,32,99,54
Mount Mary University,7,468,575,97,17,23,54,37512,37512,Wisconsin,Great Lakes,Private,Large City,21,14,98,32,100,62
Rocky Mountain College,45,450,560,70,19,25,67,35488,35488,Montana,Rocky Mountains,Private,Midsize City,2,4,48,32,100,35
Southeastern University,59,430,550,49,17,23,59,32234,32234,Florida,Southeast,Private,Small City,13,16,55,32,96,46
Walla Walla University,62,460,600,55,20,27,93,35670,35670,Washington,Far West,Private,Small Suburb,2,12,50,32,100,30
Silver Lake College of the Holy Family,5,438,493,93,17,23,60,36020,36020,Wisconsin,Great Lakes,Private,Distant Town,7,4,67,33,100,57
Mount Olive College,62,400,490,11,17,20,50,27850,27850,North Carolina,Southeast,Private,Fringe Town,33,4,67,33,98,40
Alaska Pacific University,74,465,575,26,20,24,37,43180,43180,Alaska,Far West,Private,Large City,3,3,66,33,100,42
California State University-San Marcos,96,430,530,34,18,23,63,23162,34322,California,Far West,Public,Large Suburb,3,36,60,33,57,45
Belhaven University,19,452,620,57,19,25,48,34472,34472,Mississippi,Southeast,Private,Midsize City,40,5,62,33,98,44
Midwestern State University,71,440,540,59,19,23,72,17904,19854,Texas,Southwest,Public,Midsize City,15,15,58,33,73,40
Southern Utah University,13,470,570,90,20,26,57,19082,31060,Utah,Rocky Mountains,Public,Remote Town,1,4,55,33,80,36
Arkansas Tech University,1,370,490,84,18,25,85,16086,20862,Arkansas,Southeast,Public,Remote Town,7,6,54,33,93,57
The University of West Florida,59,460,570,78,21,26,48,19737,32618,Florida,Southeast,Public,Small City,13,9,57,33,83,45
Paul Smiths College of Arts and Science,78,450,530,20,20,25,75,40021,40021,New York,Mid East,Private,Distant Rural,1,3,34,33,99,48
Williams Baptist College,6,350,430,94,19,24,68,23886,23886,Arkansas,Southeast,Private,Distant Rural,6,2,62,33,100,52
California State University-Fresno,89,400,510,39,16,22,58,20682,31842,California,Far West,Public,Large City,4,42,57,33,72,62
Woodbury University,82,420,540,23,19,25,56,48512,48512,California,Far West,Private,Large City,4,29,51,33,77,49
Jacksonville University,60,450,550,41,19,24,47,44670,44670,Florida,Southeast,Private,Large City,16,7,62,33,99,37
McMurry University,71,420,540,55,18,24,59,36421,36421,Texas,Southwest,Private,Midsize City,16,21,49,33,99,50
Texas Woman's University,78,410,530,45,17,23,86,18259,28885,Texas,Southwest,Public,Midsize City,20,24,89,33,88,59
Oregon Institute of Technology,84,440,550,33,20,25,71,21163,34803,Oregon,Far West,Public,Remote Town,1,7,48,33,70,40
Kentucky Wesleyan College,20,440,540,88,19,25,67,32190,32190,Kentucky,Southeast,Private,Small City,12,2,48,33,100,48
West Liberty University,10,400,510,90,18,24,71,20026,27340,West Virginia,Southeast,Public,Fringe Rural,5,1,60,33,85,50
Texas A & M University-Corpus Christi,81,420,520,44,17,23,93,20611,29107,Texas,Southwest,Public,Large City,5,46,58,33,60,46
Keystone College,95,400,500,10,17,21,72,35500,35500,Pennsylvania,Mid East,Private,Large Suburb,5,3,59,33,98,54
Lincoln University of Pennsylvania,93,380,470,17,15,20,61,23239,28519,Pennsylvania,Mid East,Public,Large Suburb,83,2,59,33,90,65
Pennsylvania State University-Penn State Brandywine,89,420,520,8,17,23,79,,,Pennsylvania,Mid East,Public,Large Suburb,14,5,43,33,77,38
Middle Tennessee State University,7,450,580,93,19,24,70,20818,36274,Tennessee,Southeast,Public,Midsize City,20,4,53,33,94,51
